Aspect,Polarity,Summary,Review
Output: Amenities and Location,Positive,"Baymont Hotel, Mexican Restaurant",Turn into the Baymont Hotel. You‚Äôll feel like your at the back of the hotel when you turn in. Follow the entry way to the backside with the Mexican Restaurant in your sight. You‚Äôll have to walk through the grass to get over to the restaurant but it is very close. We didn‚Äôt have time to go grab a bite but it looked like a nice place.
Output: reliability and maintenance,Negative,Two bays out but still showing available on the map,Two bays out but still showing available on the map so people just kept coming. We ended up doing *just* enough to get to the next charger 30 miles away. The auto-router had left us here without enough reserve charge to get to the next one without charging at least a little. It's near a mall so normally it would be nice: I'm mostly being salty about the Tesla auto-router not communicating with the Tesla maintenance crews.
Output: Amenities and Location,Positive,great bar with an amazing view,Two chargers available and a great bar with an amazing view!
Output: Accessibility and Availability,Positive,Two chargers that are open to use on the side of the parking lot,"Two chargers that are open to use on the side of the parking lot. One is a Tesla charger, the other is a charge point charger for which you'd need an adapter for Tesla."
Accessibility and Availability,Negative,Two chargers: one Tesla & one generic charging unit,"Two chargers: one Tesla & one generic charging unit. Front desk states first come, first serve but will unplug vehicle (even without a key, I didn‚Äôt realize that was possible) to charge other vehicles without notice or sufficient charge. Think twice on relying on this charger until hotel and valet put a policy in place to handle the quantity of electric vehicles. On a busy winter weekend hotel was flustered with 4 Tesla‚Äôs staying on property."
Customer service,Negative,"Front desk states first come, first serve but will unplug vehicle (even without a key, I didn't realize that was possible) to charge other vehicles without notice or sufficient charge","Two chargers: one Tesla & one generic charging unit. Front desk states first come, first serve but will unplug vehicle (even without a key, I didn‚Äôt realize that was possible) to charge other vehicles without notice or sufficient charge. Think twice on relying on this charger until hotel and valet put a policy in place to handle the quantity of electric vehicles. On a busy winter weekend hotel was flustered with 4 Tesla‚Äôs staying on property."
Reliability and maintenance,Negative,Think twice on relying on this charger until hotel and valet put a policy in place to handle the quantity of electric vehicles,"Two chargers: one Tesla & one generic charging unit. Front desk states first come, first serve but will unplug vehicle (even without a key, I didn‚Äôt realize that was possible) to charge other vehicles without notice or sufficient charge. Think twice on relying on this charger until hotel and valet put a policy in place to handle the quantity of electric vehicles. On a busy winter weekend hotel was flustered with 4 Tesla‚Äôs staying on property."
Queue and waiting time,Negative,On a busy winter weekend hotel was flustered with 4 Tesla's staying on property.,"Two chargers: one Tesla & one generic charging unit. Front desk states first come, first serve but will unplug vehicle (even without a key, I didn‚Äôt realize that was possible) to charge other vehicles without notice or sufficient charge. Think twice on relying on this charger until hotel and valet put a policy in place to handle the quantity of electric vehicles. On a busy winter weekend hotel was flustered with 4 Tesla‚Äôs staying on property."
Accessibility and Availability,Negative,These two Tesla supercharger spaces are frequently taken or obstructed by conventional,"Two fast superchargers in relatively good repair. This service plaza has big surges of activity, and when it does these two Tesla supercharger spaces are frequently taken or obstructed by conventional/internal combustion engine (ICE) vehicles, aka ICE'd. This is a big inconvenience given that it takes 30 to 40 minutes to get a decent charge, despite the very fast charger. I hope the plaza management can come up with an enforcement policy to protect these spaces for Teslas, especially once all those Model 3's hit the road!"
Output: Amenities and Location,Positive,Two J1772 chargers just across the lot from the Tesla chargers,"Two J1772 chargers just across the lot from the Tesla chargers, free and working fine! Nice boost before hitting the mountains going to Dunsmuir..."
Output: Charging speed and efficiency,Positive,faster than my home charger,"Two Level 2 Clipper Creek and two Tesla Level 2 chargers free usage, 24 hours. I have used the Clipper Creek charger and it is faster than my home charger"
Output: Amenities and Location,Positive,"Two level 2 destination chargers available, limited to 30 amp","Two level 2 destination chargers available, limited to 30 amp. While not a fast charger, it's sufficient to top off while enjoying a meal here and highly appreciated. Thank you Sierra Nevada Brewing!"
Output: reliability and maintenance,Negative,Two of four Tesla chargers are broke,Two of four Tesla chargers are broke. One of the connectors is physically broke and the other isn‚Äôt powered. Used the non-Tesla charger and it put out 16 amps at 200V‚Ä¶.take a day to charge an X.
Output: Accessibility and Accessibility,Negative,Two of the three are ICED,Two of the three are ICED.
Output: Amenities and Location,Positive,"parking structure, shopping, restaurants, movie theatre, grocery store, convenient location, minutes from I-94","Two sets of TESLA superchargers, in the parking structure‚Äôs FREE parking. Shopping, restaurants, movie theatre and a grocery store all in one convenient location minutes from I-94."
